void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.548611, 0.662037, 0.511111, 0.0462963, 0.166667, 0.0833333, 0.62037
standard deviation of all , 0.336931, 0.365594, 0.325557, 0.0888117, 0.199826, 0.131762, 0.347191
