void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.798986, 0.609234, 0.567568, 0.621622, 0.616554, 0.783784
standard deviation of all , 0.237053, 0.117991, 0.197191, 0.13506, 0.220451, 0.25277
