void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.638889, 0.62037, 0.537037, 0.564815, 0.548611, 0.652778
standard deviation of all , 0.348332, 0.106582, 0.251112, 0.190547, 0.32245, 0.357352
