void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.614865, 0.753378, 0.591892, 0.0653153, 0.300676, 0.109797, 0.801802
standard deviation of all , 0.26257, 0.229321, 0.223762, 0.114843, 0.177276, 0.132706, 0.234386
