pre_sum,post_sum,pre_SD,post_SD
0.244444,0.511111,0.157135,0.191163


blank,Q1_wtype_pre,Q1_wtype_post,Q2_mag_v_rad_pre,Q2_mag_v_rad_post,Q3_merge_pre,Q3_merge_post,Q4_mag_v_rotspeed_pre,Q4_mag_v_rotspeed_post,Q5_mostaff_pre,Q5_mostaff_post
mean,0,0.333333,0.111111,0.666667,0.555556,0.777778,0,0.333333,0.555556,0.444444
SD,0,0.471405,0.31427,0.471404,0.496904,0.41574,0,0.471405,0.496904,0.496904


