void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.576389, 0.800926, 0.65, 0.111111, 0.361111, 0.131944, 0.87963
standard deviation of all , 0.249614, 0.173225, 0.117851, 0.175682, 0.188142, 0.165214, 0.124914
