void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.784722, 0.601852, 0.62963, 0.62037, 0.625, 0.791667
standard deviation of all , 0.106683, 0.105977, 0.102899, 0.0820372, 0.128425, 0.155902
