void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.805556, 0.578704, 0.560185, 0.611111, 0.611111, 0.777778
standard deviation of all , 0.293808, 0.11188, 0.179066, 0.199343, 0.254777, 0.304924
