void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.673611, 0.768519, 0.6, 0, 0.236111, 0.0833333, 0.805556
standard deviation of all , 0.285314, 0.297307, 0.238048, 0, 0.178676, 0.11024, 0.31427
