pre_sum,post_sum,pre_SD,post_SD
0.6,0.688889,0.298142,0.31427


blank,Q1_wtype_pre,Q1_wtype_post,Q2_mag_v_rad_pre,Q2_mag_v_rad_post,Q3_merge_pre,Q3_merge_post,Q4_mag_v_rotspeed_pre,Q4_mag_v_rotspeed_post,Q5_mostaff_pre,Q5_mostaff_post
mean,0.222222,0.555556,0.555556,0.555556,0.888889,0.888889,0.444444,0.888889,0.888889,0.555556
SD,0.41574,0.496904,0.496904,0.496904,0.31427,0.31427,0.496904,0.31427,0.31427,0.496904


