void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.590278, 0.75463, 0.65, 0.0185185, 0.25, 0.0972222, 0.796296
standard deviation of all , 0.322898, 0.297524, 0.251661, 0.0523783, 0.158662, 0.135372, 0.31208
