void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.840278, 0.574074, 0.606481, 0.652778, 0.631944, 0.763889
standard deviation of all , 0.300623, 0.117487, 0.199451, 0.197398, 0.25591, 0.30302
