void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.701389, 0.763889, 0.6, 0.0833333, 0.236111, 0.0902778, 0.833333
standard deviation of all , 0.131028, 0.125769, 0.133333, 0.166667, 0.149588, 0.110676, 0.0785674
