void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.875, 0.592593, 0.569444, 0.643519, 0.694444, 0.791667
standard deviation of all , 0.121478, 0.0851147, 0.159571, 0.131924, 0.139582, 0.176777
