void,competence, sensory and imaginative immersion, flow, tension and annoyance, challenge, negativeaffects, positiveaffects
average of all , 0.611111, 0.722222, 0.572222, 0.0462963, 0.25, 0.104167, 0.722222
standard deviation of all , 0.259837, 0.271456, 0.258318, 0.0888117, 0.1932, 0.141299, 0.269316
