void,basic attention, temporal dissociation, transportation, challenge_post, emotional involvement, enjoyment
average of all , 0.708333, 0.62963, 0.587963, 0.611111, 0.5625, 0.75
standard deviation of all , 0.266797, 0.0971119, 0.213767, 0.122663, 0.220479, 0.288675
